A	filename	PSG filename
AEO	clock_h7_R_amp_rms_uV	Hour 7 - Average rms amplitude (µV) in REM stage.
AEP	clock_h7_amp_rms_uV	Hour 7 - Average rms (Root Mean Square) amplitude (µV) in all stages
AEQ	clock_h8_valid_min	Hour 8 - Valid (no artifact) duration (min) available for detection minus the REM periods if excluded.
AER	clock_h8_N1_valid_min	Hour 8 - Valid (no artifact) duration (min) in N1 stage available for detection minus the REM periods if excluded.
AES	clock_h8_N2_valid_min	Hour 8 - Valid (no artifact) duration (min) in N2 stage available for detection minus the REM periods if excluded.
AET	clock_h8_N3_valid_min	Hour 8 - Valid (no artifact) duration (min) in N3 stage available for detection minus the REM periods if excluded.
AEU	clock_h8_N2N3_valid_min	Hour 8 - Valid (no artifact) duration (min) in N2 and N3 stage available for detection minus the REM periods if excluded.
AEV	clock_h8_NREM_valid_min	Hour 8 - Valid (no artifact) duration (min) in NREM stage (N1, N2, N3) available for detection minus the REM periods if excluded.
AEW	clock_h8_R_valid_min	Hour 8 - Valid (no artifact) duration (min) in REM stage available for detection.
AEX	clock_h8_min	Hour 8 duration (min) minus the REM periods if excluded.
AEY	clock_h8_N1_spindle_count	Hour 8 - Sleep spindle count in N1 stage.
AEZ	clock_h8_N2_spindle_count	Hour 8 - Sleep spindle count in N2 stage.
AFA	clock_h8_N3_spindle_count	Hour 8 - Sleep spindle count in N3 stage.
AFB	clock_h8_N2N3_spindle_count	Hour 8 - Sleep spindle count in N2 and N3 stage.
AFC	clock_h8_NREM_spindle_count	Hour 8 - Sleep spindle count in NREM stage (N1, N2, N3).
AFD	clock_h8_R_spindle_count	Hour 8 - Sleep spindle count in REM stage.
AFE	clock_h8_spindle_count	Hour 8 - Sleep spindle count in all stages.
AFF	clock_h8_N1_density	Hour 8 - Spindle density (count/min) in N1 stage.
AFG	clock_h8_N2_density	Hour 8 - Spindle density (count/min) in N2 stage.
AFH	clock_h8_N3_density	Hour 8 - Spindle density (count/min) in N3 stage.
AFI	clock_h8_N2N3_density	Hour 8 - Spindle density (count/min) in N2 and N3 stage.
AFJ	clock_h8_NREM_density	Hour 8 - Spindle density (count/min) in NREM stage (N1, N2, N3).
AFK	clock_h8_R_density	Hour 8 - Spindle density (count/min) in REM stage.
AFL	clock_h8_density	Hour 8 - Spindle density (count/min) in all stages.
AFM	clock_h8_N1_spindle_sec	Hour 8 - Average spindle duration (s) in N1 stage.
AFN	clock_h8_N2_spindle_sec	Hour 8 - Average spindle duration (s) in N2 stage.
AFO	clock_h8_N3_spindle_sec	Hour 8 - Average spindle duration (s) in N3 stage.
AFP	clock_h8_N2N3_spindle_sec	Hour 8 - Average spindle duration (s) in N2 and N3 stage.
AFQ	clock_h8_NREM_spindle_sec	Hour 8 - Average spindle duration (s) in NREM stage (N1, N2, N3).
AFR	clock_h8_R_spindle_sec	Hour 8 - Average spindle duration (s) in REM stage.
AFS	clock_h8_spindle_sec	Hour 8 - Average spindle duration (s) in all stages.
AFT	clock_h8_N1_dom_freq_Hz	Hour 8 - Spindle dominant frequency (Hz) where spectral energy is maximum in N1 stage.
AFU	clock_h8_N2_dom_freq_Hz	Hour 8 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 stage.
AFV	clock_h8_N3_dom_freq_Hz	Hour 8 - Spindle dominant frequency (Hz) where spectral energy is maximum in N3 stage.
AFW	clock_h8_N2N3_dom_freq_Hz	Hour 8 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 and N3 stage.
AFX	clock_h8_NREM_dom_freq_Hz	Hour 8 - Spindle dominant frequency (Hz) where spectral energy is maximum in NREM stage (N1, N2, N3).
AFY	clock_h8_R_dom_freq_Hz	Hour 8 - Spindle dominant frequency (Hz) where spectral energy is maximum in REM stage.
AFZ	clock_h8_dom_freq_Hz	Hour 8 - Spindle dominant frequency (Hz) where spectral energy is maximum in all stages.
AGA	clock_h8_N1_avg_freq_Hz	Hour 8 - Spindle average frequency (Hz) counting peaks in N1 stage.
AGB	clock_h8_N2_avg_freq_Hz	Hour 8 - Spindle average frequency (Hz) counting peaks in N2 stage.
AGC	clock_h8_N3_avg_freq_Hz	Hour 8 - Spindle average frequency (Hz) counting peaks in N3 stage.
AGD	clock_h8_N2N3_avg_freq_Hz	Hour 8 - Spindle average frequency (Hz) counting peaks in N2 and N3 stage.
AGE	clock_h8_NREM_avg_freq_Hz	Hour 8 - Spindle average frequency (Hz) counting peaks in NREM stage (N1, N2, N3).
AGF	clock_h8_R_avg_freq_Hz	Hour 8 - Spindle average frequency (Hz) counting peaks in REM stage.
AGG	clock_h8_avg_freq_Hz	Hour 8 - Spindle average frequency (Hz) counting peaks in all stages.
AGH	clock_h8_N1_amp_pkpk_uV	Hour 8 - Average peak-to-peak amplitude (µV) in N1 stage.
AGI	clock_h8_N2_amp_pkpk_uV	Hour 8 - Average peak-to-peak amplitude (µV) in N2 stage.
