A	filename	PSG filename
BNF	stage_h4_N3_trans_freq_Hz	Stage Hour 4 - Average slow wave transition frequency (Hz) in N3 stage.
BNG	stage_h4_N2N3_trans_freq_Hz	Stage Hour 4 - Average slow wave transition frequency (Hz) in N2 and N3 stage.
BNH	stage_h4_NREM_trans_freq_Hz	Stage Hour 4 - Average slow wave transition frequency (Hz) in NREM stage (N1, N2, N3).
BNI	stage_h4_R_trans_freq_Hz	Stage Hour 4 - Average slow wave transition frequency (Hz) in REM stage.
BNJ	stage_h4_trans_freq_Hz	Stage Hour 4 - Average slow wave transition frequency (Hz) in all stages.
BNK	stage_h5_N1_valid_min	Stage Hour 5 - Valid (no artifact) duration (min) in N1 stage available for detection minus the REM periods if excluded.
BNL	stage_h5_N2_valid_min	Stage Hour 5 - Valid (no artifact) duration (min) in N2 stage available for detection minus the REM periods if excluded.
BNM	stage_h5_N3_valid_min	Stage Hour 5 - Valid (no artifact) duration (min) in N3 stage available for detection minus the REM periods if excluded.
BNN	stage_h5_N2N3_valid_min	Stage Hour 5 - Valid (no artifact) duration (min) in N2 and N3 stage available for detection minus the REM periods if excluded.
BNO	stage_h5_NREM_valid_min	Stage Hour 5 - Valid (no artifact) duration (min) in NREM stage (N1, N2, N3) available for detection minus the REM periods if excluded.
BNP	stage_h5_R_valid_min	Stage Hour 5 - Valid (no artifact) duration (min) in REM stage available for detection.
BNQ	stage_h5_min	Stage Hour 5 duration (min) minus the REM periods if excluded.
BNR	stage_h5_N1_sw_count	Stage Hour 5 - Slow wave count in N1 stage.
BNS	stage_h5_N2_sw_count	Stage Hour 5 - Slow wave count in N2 stage.
BNT	stage_h5_N3_sw_count	Stage Hour 5 - Slow wave count in N3 stage.
BNU	stage_h5_N2N3_sw_count	Stage Hour 5 - Slow wave count in N2 and N3 stage.
BNV	stage_h5_NREM_sw_count	Stage Hour 5 - Slow wave count in NREM stage (N1, N2, N3).
BNW	stage_h5_R_sw_count	Stage Hour 5 - Slow wave count in REM stage.
BNX	stage_h5_sw_count	Stage Hour 5 - Slow wave count in all stages.
BNY	stage_h5_N1_sw_sec	Stage Hour 5 - Average slow wave duration (s) in N1 stage.
BNZ	stage_h5_N2_sw_sec	Stage Hour 5 - Average slow wave duration (s) in N2 stage.
BOA	stage_h5_N3_sw_sec	Stage Hour 5 - Average slow wave duration (s) in N3 stage.
BOB	stage_h5_N2N3_sw_sec	Stage Hour 5 - Average slow wave duration (s) in N2 and N3 stage.
BOC	stage_h5_NREM_sw_sec	Stage Hour 5 - Average slow wave duration (s) in NREM stage (N1, N2, N3).
BOD	stage_h5_R_sw_sec	Stage Hour 5 - Average slow wave duration (s) in REM stage.
BOE	stage_h5_sw_sec	Stage Hour 5 - Average slow wave duration (s) in all stages.
BOF	stage_h5_N1_pkpk_amp_uV	Stage Hour 5 - Average slow wave peak-to-peak amplitude (µV) in N1 stage.
BOG	stage_h5_N2_pkpk_amp_uV	Stage Hour 5 - Average slow wave peak-to-peak amplitude (µV) in N2 stage.
BOH	stage_h5_N3_pkpk_amp_uV	Stage Hour 5 - Average slow wave peak-to-peak amplitude (µV) in N3 stage.
BOI	stage_h5_N2N3_pkpk_amp_uV	Stage Hour 5 - Average slow wave peak-to-peak amplitude (µV) in N2 and N3 stage.
BOJ	stage_h5_NREM_pkpk_amp_uV	Stage Hour 5 - Average slow wave peak-to-peak amplitude (µV) in NREM stage (N1, N2, N3).
BOK	stage_h5_R_pkpk_amp_uV	Stage Hour 5 - Average slow wave peak-to-peak amplitude (µV) in REM stage.
BOL	stage_h5_pkpk_amp_uV	Stage Hour 5 - Average slow wave peak-to-peak amplitude (µV) in all stages.
BOM	stage_h5_N1_freq_Hz	Stage Hour 5 - Average slow wave frequency (Hz) in N1 stage.
BON	stage_h5_N2_freq_Hz	Stage Hour 5 - Average slow wave frequency (Hz) in N2 stage.
BOO	stage_h5_N3_freq_Hz	Stage Hour 5 - Average slow wave frequency (Hz) in N3 stage.
BOP	stage_h5_N2N3_freq_Hz	Stage Hour 5 - Average slow wave frequency (Hz) in N2 and N3 stage.
BOQ	stage_h5_NREM_freq_Hz	Stage Hour 5 - Average slow wave frequency (Hz) in NREM stage (N1, N2, N3).
BOR	stage_h5_R_freq_Hz	Stage Hour 5 - Average slow wave frequency (Hz) in REM stage.
BOS	stage_h5_freq_Hz	Stage Hour 5 - Average slow wave frequency (Hz) in all stages.
BOT	stage_h5_N1_neg_amp_uV	Stage Hour 5 - Average slow wave negative amplitude (µV) in N1 stage.
BOU	stage_h5_N2_neg_amp_uV	Stage Hour 5 - Average slow wave negative amplitude (µV) in N2 stage.
BOV	stage_h5_N3_neg_amp_uV	Stage Hour 5 - Average slow wave negative amplitude (µV) in N3 stage.
BOW	stage_h5_N2N3_neg_amp_uV	Stage Hour 5 - Average slow wave negative amplitude (µV) in N2 and N3 stage.
BOX	stage_h5_NREM_neg_amp_uV	Stage Hour 5 - Average slow wave negative amplitude (µV) in NREM stage (N1, N2, N3).
BOY	stage_h5_R_neg_amp_uV	Stage Hour 5 - Average slow wave negative amplitude (µV) in REM stage.
BOZ	stage_h5_neg_amp_uV	Stage Hour 5 - Average slow wave negative amplitude (µV) in all stages.
BPA	stage_h5_N1_neg_sec	Stage Hour 5 - Average slow wave negative duration (s) in N1 stage.
BPB	stage_h5_N2_neg_sec	Stage Hour 5 - Average slow wave negative duration (s) in N2 stage.
BPC	stage_h5_N3_neg_sec	Stage Hour 5 - Average slow wave negative duration (s) in N3 stage.
BPD	stage_h5_N2N3_neg_sec	Stage Hour 5 - Average slow wave negative duration (s) in N2 and N3 stage.
BPE	stage_h5_NREM_neg_sec	Stage Hour 5 - Average slow wave negative duration (s) in NREM stage (N1, N2, N3).
BPF	stage_h5_R_neg_sec	Stage Hour 5 - Average slow wave negative duration (s) in REM stage.
BPG	stage_h5_neg_sec	Stage Hour 5 - Average slow wave negative duration (s) in all stages.
BPH	stage_h5_N1_pos_sec	Stage Hour 5 - Average slow wave positive duration (s) in N1 stage.
BPI	stage_h5_N2_pos_sec	Stage Hour 5 - Average slow wave positive duration (s) in N2 stage.
BPJ	stage_h5_N3_pos_sec	Stage Hour 5 - Average slow wave positive duration (s) in N3 stage.
BPK	stage_h5_N2N3_pos_sec	Stage Hour 5 - Average slow wave positive duration (s) in N2 and N3 stage.
BPL	stage_h5_NREM_pos_sec	Stage Hour 5 - Average slow wave positive duration (s) in NREM stage (N1, N2, N3).
BPM	stage_h5_R_pos_sec	Stage Hour 5 - Average slow wave positive duration (s) in REM stage.
BPN	stage_h5_pos_sec	Stage Hour 5 - Average slow wave positive duration (s) in all stages.
BPO	stage_h5_N1_slope_0_min	Stage Hour 5 - Average slow wave slope (uV/s) from 0 to min of negative in N1 stage.
BPP	stage_h5_N2_slope_0_min	Stage Hour 5 - Average slow wave slope (uV/s) from 0 to min of negative in N2 stage.
BPQ	stage_h5_N3_slope_0_min	Stage Hour 5 - Average slow wave slope (uV/s) from 0 to min of negative in N3 stage.
BPR	stage_h5_N2N3_slope_0_min	Stage Hour 5 - Average slow wave slope (uV/s) from 0 to min of negative in N2 and N3 stage.
BPS	stage_h5_NREM_slope_0_min	Stage Hour 5 - Average slow wave slope (uV/s) from 0 to min of negative in NREM stage (N1, N2, N3).
BPT	stage_h5_R_slope_0_min	Stage Hour 5 - Average slow wave slope (uV/s) from 0 to min of negative in REM stage.
BPU	stage_h5_slope_0_min	Stage Hour 5 - Average slow wave slope (uV/s) from 0 to min of negative in all stages.
BPV	stage_h5_N1_slope_min_max	Stage Hour 5 - Average slow wave slope (uV/s) from min of negative to max of positive in N1 stage.
