A	filename	PSG filename
CA	clock_h2_NREM_fft_win_valid_count	Real Clock Hour 2 - The number of valid FFT windows in NREM (N1, N2 and N3) during the first real clock hour.
CB	clock_h2_R_fft_win_count	Real Clock Hour 2 - The number of FFT windows in REM during the first real clock hour.
CC	clock_h2_R_fft_win_valid_count	Real Clock Hour 2 - The number of valid FFT windows in REM during the first real clock hour.
CD	clock_h2_Unscored_fft_win_count	Real Clock Hour 2 - The number of FFT windows unscored during the first real clock hour.
CE	clock_h2_Unscored_fft_win_valid_count	Real Clock Hour 2 - The number of valid FFT windows unscored during the first real clock hour.
CF	clock_h2_fft_win_count	Real Clock Hour 2 - The total number of FFT windows during the first real clock hour.
CG	clock_h2_fft_win_valid_count	Real Clock Hour 2 - The total number of valid FFT windows during the first real clock hour.
CH	clock_h3_W_fft_win_count	Real Clock Hour 3 - The number of FFT windows in Wake during the first real clock hour.
CI	clock_h3_W_fft_win_valid_count	Real Clock Hour 3 - The number of valid FFT windows in Wake during the first real clock hour.
CJ	clock_h3_N1_fft_win_count	Real Clock Hour 3 - The number of FFT windows in N1 during the first real clock hour.
CK	clock_h3_N1_fft_win_valid_count	Real Clock Hour 3 - The number of valid FFT windows in N1 during the first real clock hour.
CL	clock_h3_N2_fft_win_count	Real Clock Hour 3 - The number of FFT windows in N2 during the first real clock hour.
CM	clock_h3_N2_fft_win_valid_count	Real Clock Hour 3 - The number of valid FFT windows in N2 during the first real clock hour.
CN	clock_h3_N3_fft_win_count	Real Clock Hour 3 - The number of FFT windows in N3 during the first real clock hour.
CO	clock_h3_N3_fft_win_valid_count	Real Clock Hour 3 - The number of valid FFT windows in N3 during the first real clock hour.
CP	clock_h3_N2N3_fft_win_count	Real Clock Hour 3 - The number of FFT windows in N2 and N3 during the first real clock hour.
CQ	clock_h3_N2N3_fft_win_valid_count	Real Clock Hour 3 - The number of valid FFT windows in N2 and N3 during the first real clock hour.
CR	clock_h3_NREM_fft_win_count	Real Clock Hour 3 - The number of FFT windows in NREM (N1, N2 and N3) during the first real clock hour.
CS	clock_h3_NREM_fft_win_valid_count	Real Clock Hour 3 - The number of valid FFT windows in NREM (N1, N2 and N3) during the first real clock hour.
CT	clock_h3_R_fft_win_count	Real Clock Hour 3 - The number of FFT windows in REM during the first real clock hour.
CU	clock_h3_R_fft_win_valid_count	Real Clock Hour 3 - The number of valid FFT windows in REM during the first real clock hour.
CV	clock_h3_Unscored_fft_win_count	Real Clock Hour 3 - The number of FFT windows unscored during the first real clock hour.
CW	clock_h3_Unscored_fft_win_valid_count	Real Clock Hour 3 - The number of valid FFT windows unscored during the first real clock hour.
CX	clock_h3_fft_win_count	Real Clock Hour 3 - The total number of FFT windows during the first real clock hour.
CY	clock_h3_fft_win_valid_count	Real Clock Hour 3 - The total number of valid FFT windows during the first real clock hour.
CZ	clock_h4_W_fft_win_count	Real Clock Hour 4 - The number of FFT windows in Wake during the first real clock hour.
DA	clock_h4_W_fft_win_valid_count	Real Clock Hour 4 - The number of valid FFT windows in Wake during the first real clock hour.
DB	clock_h4_N1_fft_win_count	Real Clock Hour 4 - The number of FFT windows in N1 during the first real clock hour.
DC	clock_h4_N1_fft_win_valid_count	Real Clock Hour 4 - The number of valid FFT windows in N1 during the first real clock hour.
DD	clock_h4_N2_fft_win_count	Real Clock Hour 4 - The number of FFT windows in N2 during the first real clock hour.
DE	clock_h4_N2_fft_win_valid_count	Real Clock Hour 4 - The number of valid FFT windows in N2 during the first real clock hour.
DF	clock_h4_N3_fft_win_count	Real Clock Hour 4 - The number of FFT windows in N3 during the first real clock hour.
DG	clock_h4_N3_fft_win_valid_count	Real Clock Hour 4 - The number of valid FFT windows in N3 during the first real clock hour.
DH	clock_h4_N2N3_fft_win_count	Real Clock Hour 4 - The number of FFT windows in N2 and N3 during the first real clock hour.
DI	clock_h4_N2N3_fft_win_valid_count	Real Clock Hour 4 - The number of valid FFT windows in N2 and N3 during the first real clock hour.
DJ	clock_h4_NREM_fft_win_count	Real Clock Hour 4 - The number of FFT windows in NREM (N1, N2 and N3) during the first real clock hour.
DK	clock_h4_NREM_fft_win_valid_count	Real Clock Hour 4 - The number of valid FFT windows in NREM (N1, N2 and N3) during the first real clock hour.
DL	clock_h4_R_fft_win_count	Real Clock Hour 4 - The number of FFT windows in REM during the first real clock hour.
DM	clock_h4_R_fft_win_valid_count	Real Clock Hour 4 - The number of valid FFT windows in REM during the first real clock hour.
DN	clock_h4_Unscored_fft_win_count	Real Clock Hour 4 - The number of FFT windows unscored during the first real clock hour.
DO	clock_h4_Unscored_fft_win_valid_count	Real Clock Hour 4 - The number of valid FFT windows unscored during the first real clock hour.
DP	clock_h4_fft_win_count	Real Clock Hour 4 - The total number of FFT windows during the first real clock hour.
DQ	clock_h4_fft_win_valid_count	Real Clock Hour 4 - The total number of valid FFT windows during the first real clock hour.
DR	clock_h5_W_fft_win_count	Real Clock Hour 5 - The number of FFT windows in Wake during the first real clock hour.
DS	clock_h5_W_fft_win_valid_count	Real Clock Hour 5 - The number of valid FFT windows in Wake during the first real clock hour.
DT	clock_h5_N1_fft_win_count	Real Clock Hour 5 - The number of FFT windows in N1 during the first real clock hour.
DU	clock_h5_N1_fft_win_valid_count	Real Clock Hour 5 - The number of valid FFT windows in N1 during the first real clock hour.
DV	clock_h5_N2_fft_win_count	Real Clock Hour 5 - The number of FFT windows in N2 during the first real clock hour.
DW	clock_h5_N2_fft_win_valid_count	Real Clock Hour 5 - The number of valid FFT windows in N2 during the first real clock hour.
DX	clock_h5_N3_fft_win_count	Real Clock Hour 5 - The number of FFT windows in N3 during the first real clock hour.
DY	clock_h5_N3_fft_win_valid_count	Real Clock Hour 5 - The number of valid FFT windows in N3 during the first real clock hour.
DZ	clock_h5_N2N3_fft_win_count	Real Clock Hour 5 - The number of FFT windows in N2 and N3 during the first real clock hour.
EA	clock_h5_N2N3_fft_win_valid_count	Real Clock Hour 5 - The number of valid FFT windows in N2 and N3 during the first real clock hour.
EB	clock_h5_NREM_fft_win_count	Real Clock Hour 5 - The number of FFT windows in NREM (N1, N2 and N3) during the first real clock hour.
