A	filename	PSG filename
ARE	stage_h4_N3_amp_pkpk_uV	Stage Hour 4 - Average peak-to-peak amplitude (µV) in N3 stage.
ARF	stage_h4_N2N3_amp_pkpk_uV	Stage Hour 4 - Average peak-to-peak amplitude (µV) in N2 and N3 stage.
ARG	stage_h4_NREM_amp_pkpk_uV	Stage Hour 4 - Average peak-to-peak amplitude (µV) in NREM stage (N1, N2, N3).
ARH	stage_h4_R_amp_pkpk_uV	Stage Hour 4 - Average peak-to-peak amplitude (µV) in REM stage.
ARI	stage_h4_amp_pkpk_uV	Stage Hour 4 - Average peak-to-peak amplitude (µV) in all stages
ARJ	stage_h4_N1_amp_rms_uV	Stage Hour 4 - Average rms amplitude (µV) in N1 stage.
ARK	stage_h4_N2_amp_rms_uV	Stage Hour 4 - Average rms amplitude (µV) in N2 stage.
ARL	stage_h4_N3_amp_rms_uV	Stage Hour 4 - Average rms amplitude (µV) in N3 stage.
ARM	stage_h4_N2N3_amp_rms_uV	Stage Hour 4 - Average rms amplitude (µV) in N2 and N3 stage.
ARN	stage_h4_NREM_amp_rms_uV	Stage Hour 4 - Average rms amplitude (µV) in NREM stage (N1, N2, N3).
ARO	stage_h4_R_amp_rms_uV	Stage Hour 4 - Average rms amplitude (µV) in REM stage.
ARP	stage_h4_amp_rms_uV	Stage Hour 4 - Average rms (Root Mean Square) amplitude (µV) in all stages
ARQ	stage_h5_N1_valid_min	Stage Hour 5 - Valid (no artifact) duration (min) in N1 stage available for detection minus the REM periods if excluded.
ARR	stage_h5_N2_valid_min	Stage Hour 5 - Valid (no artifact) duration (min) in N2 stage available for detection minus the REM periods if excluded.
ARS	stage_h5_N3_valid_min	Stage Hour 5 - Valid (no artifact) duration (min) in N3 stage available for detection minus the REM periods if excluded.
ART	stage_h5_N2N3_valid_min	Stage Hour 5 - Valid (no artifact) duration (min) in N2 and N3 stage available for detection minus the REM periods if excluded.
ARU	stage_h5_NREM_valid_min	Stage Hour 5 - Valid (no artifact) duration (min) in NREM stage (N1, N2, N3) available for detection minus the REM periods if excluded.
ARV	stage_h5_R_valid_min	Stage Hour 5 - Valid (no artifact) duration (min) in REM stage available for detection.
ARW	stage_h5_min	Stage Hour 5 duration (min) minus the REM periods if excluded.
ARX	stage_h5_N1_spindle_count	Stage Hour 5 - Sleep spindle count in N1 stage.
ARY	stage_h5_N2_spindle_count	Stage Hour 5 - Sleep spindle count in N2 stage.
ARZ	stage_h5_N3_spindle_count	Stage Hour 5 - Sleep spindle count in N3 stage.
ASA	stage_h5_N2N3_spindle_count	Stage Hour 5 - Sleep spindle count in N2 and N3 stage.
ASB	stage_h5_NREM_spindle_count	Stage Hour 5 - Sleep spindle count in NREM stage (N1, N2, N3).
ASC	stage_h5_R_spindle_count	Stage Hour 5 - Sleep spindle count in REM stage.
ASD	stage_h5_spindle_count	Stage Hour 5 - Sleep spindle count in all stages.
ASE	stage_h5_N1_density	Stage Hour 5 - Spindle density (count/min) in N1 stage.
ASF	stage_h5_N2_density	Stage Hour 5 - Spindle density (count/min) in N2 stage.
ASG	stage_h5_N3_density	Stage Hour 5 - Spindle density (count/min) in N3 stage.
ASH	stage_h5_N2N3_density	Stage Hour 5 - Spindle density (count/min) in N2 and N3 stage.
ASI	stage_h5_NREM_density	Stage Hour 5 - Spindle density (count/min) in NREM stage (N1, N2, N3).
ASJ	stage_h5_R_density	Stage Hour 5 - Spindle density (count/min) in REM stage.
ASK	stage_h5_N1_spindle_sec	Stage Hour 5 - Average spindle duration (s) in N1 stage.
ASL	stage_h5_N2_spindle_sec	Stage Hour 5 - Average spindle duration (s) in N2 stage.
ASM	stage_h5_N3_spindle_sec	Stage Hour 5 - Average spindle duration (s) in N3 stage.
ASN	stage_h5_N2N3_spindle_sec	Stage Hour 5 - Average spindle duration (s) in N2 and N3 stage.
ASO	stage_h5_NREM_spindle_sec	Stage Hour 5 - Average spindle duration (s) in NREM stage (N1, N2, N3).
ASP	stage_h5_R_spindle_sec	Stage Hour 5 - Average spindle duration (s) in REM stage.
ASQ	stage_h5_spindle_sec	Stage Hour 5 - Average spindle duration (s) in all stages.
